A01	FF04985478
B01	FF04985479
C01	FF04985480
D01	FF04985481
E01	FF04985482
F01	FF04985483
A02	FF04985484
B02	FF04985485
C02	FF04985486
D02	FF04985487
E02	FF04985488
F02	FF04985489
A03	FF04985490
B03	FF04985491
C03	FF04985492
D03	FF04985493
E03	FF04985494
F03	FF04985495
A04	FF04985496
B04	FF04985497
C04	FF04985498
D04	FF04985499
E04	FF04985500
F04	FF04985501
A05	FF04985502
B05	FF04985503
C05	FF04985504
D05	FF04985505
E05	FF04985506
F05	FF04985507
A06	FF04985508
B06	FF04985509
C06	FF04985510
D06	FF04985511
E06	FF04985512
F06	FF04985513
A07	FF04985514
B07	FF04985515
C07	FF04985516
D07	FF04985517
E07	FF04985518
F07	FF04985519
A08	FF04985520
B08	FF04985521
C08	FF04985522
D08	FF04985523
E08	FF04985524
F08	FF04985525
