A01	FD16069487
B01	FD16069488
C01	FD16069489
D01	FD16069490
E01	FD16069491
F01	FD16069492
G01	FD16069493
H01	FD16069494
A02	FD16069495
B02	FD16069496
C02	FD16069497
D02	FD16069498
E02	FD16069499
F02	FD16069500
G02	FD16069501
H02	FD16069502
A03	FD16069503
B03	FD16069504
C03	FD16069505
D03	FD16069506
E03	FD16069507
F03	FD16069508
G03	FD16069509
H03	FD16069510
A04	FD16069511
B04	FD16069512
C04	FD16069513
D04	FD16069514
E04	FD16069515
F04	FD16069516
G04	FD16069517
H04	FD16069518
A05	FD16069519
B05	FD16069520
C05	FD16069521
D05	FD16069522
E05	FD16069523
F05	FD16069524
G05	FD16069525
H05	FD16069526
A06	FD16069527
B06	FD16069528
C06	FD16069529
D06	FD16069530
E06	FD16069531
F06	FD16069532
G06	FD16069533
H06	FD16069534
A07	FD16069535
B07	FD16069536
C07	FD16069537
D07	FD16069538
E07	FD16069539
F07	FD16069540
G07	FD16069541
H07	FD16069542
A08	FD16069543
B08	FD16069544
C08	FD16069545
D08	FD16069546
E08	FD16069547
F08	FD16069548
G08	FD16069549
H08	FD16069550
A09	FD16069551
B09	FD16069552
C09	FD16069553
D09	FD16069554
E09	FD16069555
F09	FD16069556
G09	FD16069557
H09	FD16069558
A10	FD16069559
B10	FD16069560
C10	FD16069561
D10	FD16069562
E10	FD16069563
F10	FD16069564
G10	FD16069565
H10	FD16069566
A11	FD16069567
B11	FD16069568
C11	FD16069569
D11	FD16069570
E11	FD16069571
F11	FD16069572
G11	FD16069573
H11	FD16069574
A12	FD16069575
B12	FD16069576
C12	FD16069577
D12	FD16069578
E12	FD16069579
F12	FD16069580
G12	FD16069581
H12	FD16069582
